politician,polltype,subgroup,start_date,end_date,pollster_rating_name,sample_size,raw_sample_size,population,weight,approve,disapprove,approve_adjusted,disapprove_adjusted,tracking,url,poll_id,question_id,created_at,timestamp,pollster_rating_id,subpopulation
Joe Biden,potus-approve,All polls,11/5/2023,11/9/2023,Rasmussen Reports,1500,1500,lv,0.70805148,45,53,43.88480563,49.87489544,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,84657,185596,11/10/2023,2023-11-10T14:34:52Z,277,NA
Joe Biden,potus-approve,All polls,11/1/2023,11/7/2023,Morning Consult,7164,45000,a,1.360249949,39,54,37.85022411,55.27166628,TRUE,https://pro.morningconsult.com/trackers/global-leader-approval,84627,185459,11/9/2023,2023-11-10T14:34:52Z,218,NA
Joe Biden,potus-approve,All polls,11/5/2023,11/7/2023,YouGov,1500,1500,a,0.70805148,40,54,40.01152528,54.6618537,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_vaQYxHN.pdf,84611,185146,11/8/2023,2023-11-10T14:34:52Z,391,NA
Joe Biden,potus-approve,All polls,11/3/2023,11/6/2023,McLaughlin & Associates,2000,2000,rv,0.817587425,42.1,57.9,40.18633723,55.84713632,NA,https://americasnewmajorityproject.com/to-pay-for-israel-and-ukraine-aid-most-americans-prefer-spending-cuts-to-deficit-spending/,84634,185513,11/9/2023,2023-11-10T14:34:52Z,203,NA
Joe Biden,potus-approve,All polls,11/2/2023,11/6/2023,AP-NORC,1239,1239,a,0.910059644,38,61,35.76047761,58.65171071,NA,https://apnorc.org/projects/as-the-israel-palestine-conflict-escalates-more-see-israel-as-an-ally/,84612,185148,11/8/2023,2023-11-10T14:34:52Z,397,NA
Joe Biden,potus-approve,All polls,10/30/2023,11/5/2023,Big Village,2023,2023,a,1.162872619,36.7,55.3,37.68052906,56.63349054,NA,https://s3.amazonaws.com/cdn.big-village.com/big-village/2023/11/Big-Village-Political-Poll-11.05.23.pdf,84594,185017,11/7/2023,2023-11-10T14:34:52Z,37,NA
Joe Biden,potus-approve,All polls,11/3/2023,11/4/2023,Ipsos,1019,1019,a,0.825317958,38.54,55.65,37.93499099,55.74073048,NA,https://graphics.reuters.com/USA-BIDEN/POLL/nmopagnqapa/index.html,84597,185052,11/7/2023,2023-11-10T14:34:52Z,154,NA
Joe Biden,potus-approve,All polls,11/1/2023,11/3/2023,TIPP Insights,1400,1400,a,0.967382487,39,52,39.03053586,57.08430198,NA,https://tippinsights.com/president-bidens-key-issues-approval-sink-or-swim/,84592,185012,11/7/2023,2023-11-10T14:34:52Z,144,NA
Joe Biden,potus-approve,All polls,10/27/2023,11/2/2023,SSRS,1514,1514,a,1.005998054,39,61,37.50909323,58.07980347,NA,https://www.cnn.com/2023/11/07/politics/cnn-poll-trump-biden-matchup/index.html,84608,185080,11/7/2023,2023-11-10T14:34:52Z,297,NA
Joe Biden,potus-approve,All polls,11/1/2023,11/2/2023,RMG Research,1000,1000,rv,0.578121613,39,58,38.13977063,57.32014023,NA,https://x.com/RMG_Research/status/1721710908185923701?s=20,84593,185016,11/7/2023,2023-11-10T14:34:52Z,555,NA
Joe Biden,potus-approve,All polls,10/29/2023,11/2/2023,Rasmussen Reports,1500,1500,lv,0.70805148,41,57,39.88480563,53.87489544,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,84535,184741,11/3/2023,2023-11-10T14:34:52Z,277,NA
Joe Biden,potus-approve,All polls,10/30/2023,11/1/2023,Harris Insights & Analytics,2021,2021,rv,0.821868551,41,56,38.37972414,55.85174531,NA,https://themessenger.com/politics/poll-trump-continues-to-lead-biden-exclusive,84520,184543,11/1/2023,2023-11-10T14:34:52Z,133,NA
Joe Biden,potus-approve,All polls,10/25/2023,10/31/2023,Morning Consult,7164,45000,a,1.360249949,38,55,36.85022411,56.27166628,TRUE,https://pro.morningconsult.com/trackers/global-leader-approval,84524,184588,11/2/2023,2023-11-10T14:34:52Z,218,NA
Joe Biden,potus-approve,All polls,10/28/2023,10/31/2023,Civiqs,1112,1112,rv,0.862157473,37,55,39.12819048,52.92980288,NA,https://civiqs.com/reports/2023/10/31/report-following-speaker-battle-approval-of-republicans-in-congress-at-12percent,84518,184442,11/1/2023,2023-11-10T14:34:52Z,471,NA
Joe Biden,potus-approve,All polls,10/28/2023,10/31/2023,YouGov,1500,1500,a,0.578121613,39,57,39.01152528,57.6618537,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_cIQloVR.pdf,84513,184330,11/1/2023,2023-11-10T14:34:52Z,391,NA
Joe Biden,potus-approve,All polls,10/26/2023,10/30/2023,Global Strategy Group/GBAO (Navigator Research),1000,1000,rv,0.817587425,38,59,36.62789904,57.46515112,NA,https://navigatorresearch.org/a-majority-of-americans-say-political-dysfunction-is-fixable/,84625,185458,11/9/2023,2023-11-10T14:34:52Z,413,NA
Joe Biden,potus-approve,All polls,10/26/2023,10/30/2023,Quinnipiac University,1772,1772,a,1.088343686,36,59,39.82756237,57.93794908,NA,https://poll.qu.edu/poll-release?releaseid=3881,84517,184476,11/1/2023,2023-11-10T14:34:52Z,267,NA
Joe Biden,potus-approve,All polls,10/27/2023,10/30/2023,American Pulse Research & Polling,568,568,lv,0.616181097,44.9,52.6,41.56245045,53.51004829,NA,https://prowly-uploads.s3.eu-west-1.amazonaws.com/uploads/landing_page_image/image/514497/1910940e6e058df01974193b7e4215ac.pdf,84515,184378,11/1/2023,2023-11-10T14:34:52Z,497,NA
Joe Biden,potus-approve,All polls,10/27/2023,10/29/2023,Leger,1000,1000,a,0.817587425,37,51,36.03356646,49.87890248,NA,https://leger360.com/surveys/canadian-federal-politics-and-the-economy/,84516,184379,11/1/2023,2023-11-10T14:34:52Z,572,NA
Joe Biden,potus-approve,All polls,10/29/2023,10/29/2023,Redfield & Wilton Strategies,1500,1500,rv,1.001336006,37.5,45.2,39.34596707,52.17624053,NA,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-29-october-2023/,84510,184318,10/31/2023,2023-11-10T14:34:52Z,562,NA
Joe Biden,potus-approve,All polls,10/26/2023,10/27/2023,Slingshot Strategies,1188,1188,a,0.891132789,40,50,39.58725169,52.77620195,NA,https://www.scribd.com/document/681402179/Slingshot-Israel-Poll-10-31-23,84525,184589,11/2/2023,2023-11-10T14:34:52Z,451,NA
Joe Biden,potus-approve,All polls,10/20/2023,10/26/2023,Noble Predictive Insights,2605,2605,rv,1.319587117,41,57,40.08642467,56.69751107,NA,https://www.thecentersquare.com/national/article_9675c988-7a87-11ee-942b-cb66241089a7.html,84584,184882,11/6/2023,2023-11-10T14:34:52Z,235,NA
Joe Biden,potus-approve,All polls,10/23/2023,10/26/2023,Echelon Insights,1029,1029,lv,0.829357718,37,61,34.49162013,60.03952992,NA,https://echeloninsights.com/in-the-news/oct2023-verified-voter-omnibus/,84519,184478,11/1/2023,2023-11-10T14:34:52Z,407,NA
Joe Biden,potus-approve,All polls,10/25/2023,10/26/2023,RMG Research,1000,1000,rv,0.47203432,37,61,36.13977063,60.32014023,NA,https://twitter.com/rmg_research/status/1718263599649419513?s=46&t=B7uhJKl6VS0HjF7NBbUcxg,84502,184292,10/28/2023,2023-11-10T14:34:52Z,555,NA
Joe Biden,potus-approve,All polls,10/22/2023,10/26/2023,Rasmussen Reports,1500,1500,lv,0.70805148,43,55,41.88480563,51.87489544,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,84498,184273,10/27/2023,2023-11-10T14:34:52Z,277,NA
Joe Biden,potus-approve,All polls,10/23/2023,10/24/2023,NewsNation,1000,1000,rv,0.817587425,44.22,55.78,40.65199311,54.33982915,NA,https://www.newsnationnow.com/polls/voters-split-hamas-supporters-trust-in-news/,84507,184314,10/31/2023,2023-11-10T14:34:52Z,696,NA
Joe Biden,potus-approve,All polls,10/18/2023,10/24/2023,Morning Consult,7164,45000,a,1.360249949,39,53,37.85022411,54.27166628,TRUE,https://pro.morningconsult.com/trackers/global-leader-approval,84500,184276,10/27/2023,2023-11-10T14:34:52Z,218,NA
Joe Biden,potus-approve,All polls,10/19/2023,10/24/2023,McLaughlin & Associates,1000,1000,lv,0.578121613,43,55,40.49432313,53.1835337,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2023/10/National-October-Presentation-RELEASE-10-25-23-4.pdf,84497,184254,10/26/2023,2023-11-10T14:34:52Z,203,NA
Joe Biden,potus-approve,All polls,10/21/2023,10/24/2023,YouGov,1500,1500,a,0.500668003,40,55,40.01152528,55.6618537,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Gnw1Xj2.pdf,84487,184159,10/25/2023,2023-11-10T14:34:52Z,391,NA
Joe Biden,potus-approve,All polls,10/2/2023,10/23/2023,Gallup,1009,1009,a,0.821258328,37,59,36.87637083,57.24708092,NA,https://news.gallup.com/poll/513305/democrats-ratings-biden-slip-overall-approval.aspx,84495,184242,10/26/2023,2023-11-10T14:34:52Z,112,NA
Joe Biden,potus-approve,All polls,10/16/2023,10/23/2023,Harris Insights & Analytics,3029,3029,rv,1.006164157,40,56,37.37972414,55.85174531,NA,https://themessenger.com/politics/poll-rfk-jr-throws-wrench-into-2024-race-between-trump-biden-exclusive,84484,184126,10/24/2023,2023-11-10T14:34:52Z,133,NA
Joe Biden,potus-approve,All polls,10/19/2023,10/22/2023,McLaughlin & Associates,2000,2000,rv,1.156243225,42.4,57.6,40.48633723,55.54713632,NA,https://americasnewmajorityproject.com/wp-content/uploads/2023/10/202321022-National-ANMP-Toplines.pdf,84490,184205,10/25/2023,2023-11-10T14:34:52Z,203,NA
Joe Biden,potus-approve,All polls,10/20/2023,10/21/2023,Data for Progress,1222,1222,lv,0.903794733,40,58,37.66493483,56.15601067,NA,https://www.dataforprogress.org/blog/2023/10/23/salmon-arent-partisan-voters-want-to-protect-the-rural-subsistence-priority,84483,184125,10/24/2023,2023-11-10T14:34:52Z,522,NA
Joe Biden,potus-approve,All polls,10/17/2023,10/20/2023,American Research Group,1100,1100,a,0.857492926,38,56,36.98754612,56.52888729,NA,https://americanresearchgroup.com/economy/,84471,184030,10/23/2023,2023-11-10T14:34:52Z,9,NA
Joe Biden,potus-approve,All polls,10/17/2023,10/20/2023,Suffolk University,1000,1000,rv,0.817587425,39.8,56.3,40.35964465,54.03733814,NA,https://www.usatoday.com/story/news/politics/elections/2023/10/23/biden-trump-rfk-jr-poll/71281814007,84469,184028,10/23/2023,2023-11-10T14:34:52Z,323,NA
Joe Biden,potus-approve,All polls,10/16/2023,10/19/2023,Let's Preserve the American Dream,1000,1000,lv,0.817587425,40,54,38.74040955,54.30117662,NA,https://www.lptad.com/_files/ugd/cd4c37_912e6211dec24d428af59860ba8f033b.pdf,84481,184105,10/24/2023,2023-11-10T14:34:52Z,809,NA
Joe Biden,potus-approve,All polls,10/18/2023,10/19/2023,RMG Research,1000,1000,rv,0.47203432,40,56,39.13977063,55.32014023,NA,https://twitter.com/RMG_Research/status/1716607204558577985?s=20,84475,184069,10/24/2023,2023-11-10T14:34:52Z,555,NA
Joe Biden,potus-approve,All polls,10/16/2023,10/19/2023,YouGov,1878,1878,a,0.560211476,40,60,40.01152528,60.6618537,NA,https://www.cbsnews.com/news/israel-hamas-war-biden-opinion/,84460,183910,10/20/2023,2023-11-10T14:34:52Z,391,NA
Joe Biden,potus-approve,All polls,10/15/2023,10/19/2023,Rasmussen Reports,1500,1500,lv,0.70805148,47,52,45.88480563,48.87489544,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,84459,183909,10/20/2023,2023-11-10T14:34:52Z,277,NA
Joe Biden,potus-approve,All polls,10/18/2023,10/18/2023,Harris Insights & Analytics,2116,2116,rv,0.840963288,44,53,41.37972414,52.85174531,NA,https://harvardharrispoll.com/wp-content/uploads/2023/10/HHP_Oct23_KeyResults.pdf,84467,183973,10/21/2023,2023-11-10T14:34:52Z,133,NA
Joe Biden,potus-approve,All polls,10/11/2023,10/17/2023,Murphy Nasica & Associates,3318,3318,lv,1.360249949,40.4,57.1,38.74413164,55.84798758,NA,https://projects.fivethirtyeight.com/polls/20231024_US_MNA.pdf,84476,184070,10/24/2023,2023-11-10T14:34:52Z,805,NA
Joe Biden,potus-approve,All polls,10/16/2023,10/17/2023,RMG Research,1000,1000,rv,0.578121613,41,57,40.13977063,56.32014023,NA,https://twitter.com/ScottWRasmussen/status/1715396187388289391?s=20,84465,183971,10/20/2023,2023-11-10T14:34:52Z,555,NA
Joe Biden,potus-approve,All polls,10/16/2023,10/17/2023,Emerson College,1578,1578,rv,1.027040814,42,49.6,41.45781342,52.13992021,NA,https://emersoncollegepolling.com/october-2023-national-poll-trump-making-inroads-with-young-voters-against-biden-maintains-majority-support-in-republican-primary/,84461,183911,10/20/2023,2023-11-10T14:34:52Z,88,NA
Joe Biden,potus-approve,All polls,10/11/2023,10/17/2023,Morning Consult,7164,45000,a,1.360249949,40,53,38.85022411,54.27166628,TRUE,https://pro.morningconsult.com/trackers/global-leader-approval,84449,183843,10/19/2023,2023-11-10T14:34:52Z,218,NA
Joe Biden,potus-approve,All polls,10/14/2023,10/17/2023,YouGov,1500,1500,a,0.578121613,41,53,41.01152528,53.6618537,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_3WmN9jD.pdf,84446,183774,10/18/2023,2023-11-10T14:34:52Z,391,NA
Joe Biden,potus-approve,All polls,10/12/2023,10/16/2023,Global Strategy Group/GBAO (Navigator Research),1000,1000,rv,0.817587425,40,58,38.62789904,56.46515112,NA,https://navigatorresearch.org/lowering-drug-prices-and-investing-in-infrastructure-are-most-popular-and-known-biden-accomplishments/,84477,184071,10/24/2023,2023-11-10T14:34:52Z,413,NA
Joe Biden,potus-approve,All polls,10/11/2023,10/16/2023,Hart Research Associates/Public Opinion Strategies,1001,1001,a,0.817996117,37,58,37.33412319,57.54814947,NA,https://www.cnbc.com/2023/10/18/biden-would-lose-in-match-up-vs-trump-according-to-cnbc-survey-israel-funding-has-strong-support.html,84444,183758,10/18/2023,2023-11-10T14:34:52Z,221,NA
Joe Biden,potus-approve,All polls,10/12/2023,10/16/2023,Quinnipiac University,1737,1737,a,1.077541766,37,55,40.82756237,53.93794908,NA,https://poll.qu.edu/poll-release?releaseid=3880,84441,184477,11/1/2023,2023-11-10T14:34:52Z,267,NA
